COUNTRY,Bitcoin(raw),CODE,Bitcoin
____ Argentina,"244,273,785.00",AFG,24.4273785
____ Australia,"254,692,234.00",AUT,25.4692234
____ Brazil,"114,069,866.00",BRA,11.4069866
____ Canada,"133,970,541.00",CAN,13.3970541
____ Chile,"6,969,942,308.00",CHL,696.9942308
____ China,"4,144,788,613.00",CHN,414.4788613
____ Colombia,"191,729,200,301.00",COL,19172.92003
____ Croatia,"21,760,001.00",HRV,2.1760001
____ Czech Republic,"95,110,449.00",CZE,9.5110449
____ Denmark,"27,742,917.00",DNK,2.7742917
____ Dominican Republic,"220,130,582.00",DOM,22.0130582
____ Hong Kong,"318,126,126.00",HKG,31.8126126
____ Hungary,"309,925,632.00",HUN,30.9925632
____ India,"4,893,165,459.00",IND,489.3165459
____ Indonesia,"14,426,793,895.00",IDN,1442.67939
____ Iran,"715,034,240,814.00",IRN,71503.42408
____ Japan,"143,222,602.00",JPN,14.3222602
____ Kazakhstan,"1,000,699,429.00",KAZ,100.0699429
____ Kenya,"2,515,677,431.00",KEN,251.5677431
____ Malaysia,"267,787,377.00",MYS,26.7787377
____ Mexico,"441,560,998.00",MEX,44.1560998
____ Morocco,"57,774,438.00",MAR,5.7774438
____ New Zealand,"79,156,607.00",NZL,7.9156607
____ Nigeria,"91,982,161,142.00",NGA,9198.216114
____ Norway,"344,753,028.00",NOR,34.4753028
____ Pakistan,"4,334,371,731.00",PAK,433.4371731
____ Peru,"58,585,968.00",PER,5.8585968
____ Philippines,"639,846,403.00",PHL,63.9846403
____ Poland,"28,922,058.00",POL,2.8922058
____ Romania,"78,556,105.00",ROU,7.8556105
____ Russia,"65,434,472,468.00",RUS,6543.447247
____ Saudi Arabia,"87,785,187.00",SAU,8.7785187
____ Singapore,"29,448,695.00",SGP,2.9448695
____ South Africa,"1,361,643,708.00",ZAF,136.1643708
____ Sweden,"615,043,238.00",SWE,61.5043238
____ Switzerland,"11,213,900.00",CHE,1.12139
____ Tanzania,"4,679,788,174.00",TZA,467.9788174
____ Thailand,"2,014,723,162.00",THA,201.4723162
____ Turkey,"47,499,259.00",TUR,4.7499259
____ Ukraine,"854,259,219.00",UKR,85.4259219
____ United Arab Emirates,"124,710,927.00",ARE,12.4710927
____ United Kingdom,"563,197,072.00",GBR,56.3197072
____ USA,"1,440,264,907.00",USA,144.0264907
____ Vietnam,"77,261,474,642.00",VNM,7726.147464
